Fecha,Hora,Magnitud,Latitud,Longitud,Profundidad,Localización,Fecha UTC,Hora UTC
6/20/2017,14:47:51,3.7,15.65,-93.71,83,"49 km al SUR de TONALA, CHIS",6/20/2017,19:47:51
6/20/2017,14:17:39,2.7,31.41,-115.51,16,"77 km al NOROESTE de SAN FELIPE, BC",6/20/2017,19:17:39
6/20/2017,14:01:38,3.2,16.26,-97.94,11,"15 km al SURESTE de PINOTEPA NACIONAL, OAX",6/20/2017,19:01:38
6/20/2017,13:55:48,3.6,15.01,-93.65,28,"89 km al SUROESTE de PIJIJIAPAN, CHIS",6/20/2017,18:55:48
6/20/2017,13:20:56,3.2,15.8,-97.26,18,"22 km al SUROESTE de PUERTO ESCONDIDO, OAX",6/20/2017,18:20:56
6/20/2017,13:20:20,3.4,16.56,-98.67,18,"31 km al SUROESTE de OMETEPEC, GRO",6/20/2017,18:20:20
6/20/2017,13:10:36,3.9,17.6,-94.84,134,"33 km al SURESTE de SAYULA DE ALEMAN, VER",6/20/2017,18:10:36
6/20/2017,13:05:20,3.4,16.7,-98.1,46,"33 km al ESTE de OMETEPEC, GRO",6/20/2017,18:05:20
6/20/2017,12:36:38,3.7,14.65,-91.96,94,"20 km al ESTE de CD HIDALGO, CHIS",6/20/2017,17:36:38
6/20/2017,12:29:47,3.6,16.29,-98.22,15,"19 km al SUROESTE de PINOTEPA NACIONAL, OAX",6/20/2017,17:29:47
6/20/2017,11:46:52,3.7,18.39,-102.92,10,"50 km al SURESTE de COALCOMAN, MICH",6/20/2017,16:46:52
6/20/2017,10:35:02,3.1,16.75,-98.45,5,"8 km al NOROESTE de OMETEPEC, GRO",6/20/2017,15:35:02
6/20/2017,09:16:35,4.1,17.3,-100.51,36,"13 km al NOROESTE de ATOYAC DE ALVAREZ, GRO",6/20/2017,14:16:35
6/20/2017,08:37:52,3.6,19.15,-104.88,4,"35 km al SUROESTE de CIHUATLAN, JAL",6/20/2017,13:37:52
6/20/2017,07:05:02,3.6,19.43,-104.37,75,"21 km al SURESTE de CASIMIRO CASTILLO, JAL",6/20/2017,12:05:02
6/20/2017,06:26:58,3.6,14.7,-92.06,99,"10 km al ESTE de CD HIDALGO, CHIS",6/20/2017,11:26:58
6/20/2017,06:23:26,3.9,16.25,-96.2,59,"43 km al ESTE de MIAHUATLAN, OAX",6/20/2017,11:23:26
6/20/2017,05:23:35,3.4,17.93,-100.43,51,"45 km al SUROESTE de ARCELIA, GRO",6/20/2017,10:23:35
6/20/2017,05:00:51,3.6,18.1,-100.19,47,"26 km al SURESTE de ARCELIA, GRO",6/20/2017,10:00:51
6/20/2017,04:56:10,3.6,16.31,-97.84,5,"23 km al ESTE de PINOTEPA NACIONAL, OAX",6/20/2017,09:56:10
6/20/2017,04:48:27,3.8,14.62,-92.17,100,"7 km al SUROESTE de CD HIDALGO, CHIS",6/20/2017,09:48:27
6/20/2017,04:41:00,3.7,17.07,-93.77,177,"41 km al NORTE de CINTALAPA, CHIS",6/20/2017,09:41:00
6/20/2017,03:18:34,3.4,18.66,-102.67,54,"53 km al ESTE de COALCOMAN, MICH",6/20/2017,08:18:34
6/20/2017,03:08:45,3.9,15.89,-93.98,76,"32 km al SUROESTE de TONALA, CHIS",6/20/2017,08:08:45
6/20/2017,02:54:24,3.7,14.6,-92.27,104,"15 km al SUROESTE de CD HIDALGO, CHIS",6/20/2017,07:54:24
6/20/2017,01:18:54,3.9,14.67,-92.21,97,"6 km al OESTE de CD HIDALGO, CHIS",6/20/2017,06:18:54
6/20/2017,01:15:07,3.9,15.7,-97.33,5,"34 km al SUROESTE de PUERTO ESCONDIDO, OAX",6/20/2017,06:15:07
6/20/2017,00:48:10,3,31.19,-115.41,24,"58 km al NOROESTE de SAN FELIPE, BC",6/20/2017,05:48:10
6/19/2017,23:43:03,3.8,16.92,-100.36,30,"30 km al SUROESTE de COYUCA DE BENITEZ, GRO ",6/19/2017,11:43:03
6/19/2017,22:46:00,3.8,15.29,-92.4,145,"10km al SUROESTE de MOTOZINTLA, CHIS ",6/19/2017,10:46:00
6/19/2017,22:09:37,4.3,15.77,-94.03,83,"46km al  SUROESTE de TONALA, CHIS",6/19/2017,10:09:37
6/19/2017,21:33:39,3.8,18.03,-103.35,7,"85km al SUR de COALCOMAN, MICH",6/19/2017,09:33:39
6/19/2017,20:52:10,3.6,14.64,-97,97,"17km al ESTE de CD HIDALGO, CHIS",9/19/2017,08:52:10
6/19/2017,20:20:43,3.4,16.75,-99.18,34,"23km al ESTE de SAN MARCOS, GRO",6/19/2017,08:20:43
6/19/2017,19:34:07,3.5,15.93,-93.96,85,"27km al SUROESTE de TONALA, CHIS",6/19/2017,07:34:07
6/19/2017,19:08:24,3.7,15.62,-93,131,"22km al NOROESTE  de MAPASTEPEC, CHIS",6/19/2017,07:08:24
6/19/2017,18:47:15,3.8,15.21,-97.29,16,"76km al SUROESTE de MAPASTEPEC, CHIS",6/19/2017,06:47:15
6/19/2017,18:44:12,4,16.87,-94.82,115,"23km al ESTE de PUERTO ESCONDIDO, OAX",6/19/2017,06:44:12
6/19/2017,18:41:20,3.1,15.74,-97.14,7,"16km al SUROESTE  de PUERTO ESCONDIDO, OAX",6/19/2017,06:41:20
6/19/2017,18:22:41,4.2,14.02,-93.32,15,"145km al SUROESTE de CD HIDALGO, CHIS",6/19/2017,06:22:41
6/19/2017,17:59:12,2.9,16.29,-98.15,13,"12km al SUROESTE de PINOETEPA NACIONAL, OAX",6/19/2017,05:59:12
6/19/2017,17:00:59,3.6,15.88,-98.24,16,"55km al SUROESTE de PINOTEPA NACIONAL, OAX ",6/19/2017,05:09:46
6/19/2017,17:00:59,3.3,19.1,-105.18,1,"67km al OESTE de CIHUATLAN, JAL",6/19/2017,05:00:59
6/19/2017,16:47:07,3.2,16.26,-98.14,14,"14km al SUROESTE de PINOTEPA NACIONAL, OAX",6/19/2017,04:47:07
6/19/2017,16:00:18,3.5,18.08,-100.69,53,"31km al CD ALTAMIRANO,GRO",6/19/2017,04:00:18
6/19/2017,14:58:17,4.4,14.68,-92.59,79,"43km al SUROESTE de TAPACHULA,CHIS",6/19/2017,02:58:17
6/19/2017,14:00:05,3.8,16.75,-99.7,5,"25km al SURESTE de ACAPULCO, GRO",6/19/2017,02:00:05
6/19/2017,12:51:07,3.4,15.04,-92.51,106,"12KM al SUROESTE de HUIXTLA,CHIS",6/19/2017,12:51:07
6/19/2017,12:45:10,3.4,14.51,-92.76,67,"69km al SUROESTE de CD HIDALGO,CHIS",6/19/2017,12:45:10
6/19/2017,12:36:11,4.3,17.86,-92.48,56,"36km al NORESTE de TLAPA,GRO",6/19/2017,12:36:11
